ID|PSET|ALT_PRONOUNCE|PRONOUN|VERB|GENDER|SYLLABARY|PRONOUNCE|ENGLISH|INTRO NOTE|END NOTE|APP_FILE

||||||ᎥᏝ ᎫᎫ ᏧᏁᎩᎸᏗ ᏱᎦᏗᎭ.|v̀hla gùːgu juːnéːgihldi yigaːdía; hla gùːgu juːnéːgihld yigaːdí|I'm not saying the bottles are ugly.|||
||||||ᏙᎹᏏ ᏩᏯ ᎤᏂᏁᎩᎸᏗ ᎠᏗᎭ.|Tóːmasi wahaya uːniːnéːgihldi àːdiha.; Tóːmas wahya uːniːnéːgihld àːdi.|Thomas says the wolves are ugly.|||
||||||ᏗᎪᏪᎵ ᏧᏬᏚᎯ ᎠᏆᏅᏔ.|Digoːhweːli juwoːdűːhi àgwanhta.; Digoːhweːl juwoːdű àgwanht.|I know the papers are pretty.|||
||||||ᏧᏬᏚᎯ ᎫᎫ ᏓᎩᎭ.|Juwoːdűːhi gùːgu dàːgiha.; Juwoːdű gùːg dàːgi.|I have pretty bottles.|||
||||||ᎤᏁᎩᎸᏗ ᏐᏈᎵ ᏥᎪᏩᏘ.|Uːnéːgihldi sǒːgwíli jiːgowhtíha.; Uːnéːgihld sǒːgwíl jiːgowhtí.|I see an ugly horse.|||
||||||ᎫᎴ ᏗᏐᎢ ᎠᏆᏅᏔ.|Guːle dǐːsoʔi àgwanhta.; Guːle dǐːso àgwanht.|I know the acorns are additional ones.|||
||||||Ꮭ ᎩᎦᎨ ᎫᎫ ᎦᏘᏲᎢ ᏱᎨᏎ.|Hla gǐːgáge̋ gùːgu gǎːtíːyőːʔi yiːgèːsé.; Hla gǐːge̋ gùːgu gǎːtíːyő yiːgèːsé.|There wasn't a red bottle at the stompground.|||
||||||Ꮭ ᏌᎪᏂᎨ ᎤᏍᎪᎸ ᎫᎫ ᏐᎢᏱ ᏱᎩ.|̀Hla sakǒːníge̋ ùːsgǒːlv̋ gùːgu soʔǐːyi yi̋ːgi.|There isn't a blue-gray bottle in the next room.|||
||||||ᏙᏉᏘ ᎥᏝ ᏲᎾ ᎤᏬᏚᎯ ᏳᏅᏔ.|Tóːmasi hla yǒːna uwoːdűːhi yùnhta.; Tóːmasi hla yǒːn uwoːdű yùnht.|Thomas doesn't know the bear is pretty.|||
||||||ᏐᎢ ᏌᎶᎵ ᎦᏘᏲᎢ ᎨᏎᏍᏗ.|Sóʔi salǒːli gǎːtíːyőːʔi gèːséːsdi.; Só salǒːl gǎːtíːyő gèːséːsd.|Another squirrel will be at the stompground.|||
||||||ᏴᏫ Ꮭ ᏚᏯ ᏧᏁᎩᎸᏗ ᏯᏗᎭ.|Ayvːwi hla tǔːya juːnéːgihldi yàːdiha.; Yvːwi hla tǔːya juːnéːgihld yàːdiha.|The person isn't saying the beans are ugly.|||
||||||ᎫᎫ ᏓᎶᏂᎨ ᎤᏍᎪᎸ ᎤᏅᏔ.|Gùːgu dalǒːníge̋ ùːsgǒːlv̋ ùnhta.|He knows the bottle is orange.|||
||||||Ꮭ ᏐᎢ ᎠᏫ ᏐᎢᏱ ᏱᎩ.|Hla sóʔi ahawi soʔǐːyi yi̋ːgi.; Hla só ahwi soʔǐːyi yi̋ːg.|There isn't another deer in the next room.|||
||||||ᎤᏁᎩᎸᏗ ᏥᏍᏚ ᏣᎧᎭ.|Uːnéːgihldi jiːsdu jakáha.; Uːnéːgihld jiːsd jakáha.|You have an ugly rabbit.|||
||||||ᎥᏝ ᏌᎶᎵ ᎤᏬᏚᎯ ᏯᏗᎭ.|Hla salǒːli uwoːdűːhi yàːdiha.; Hla salǒːl uwoːdű yàːdiha.|He isn't saying the squirrel is pretty.|||
